ID	Habitat	Gender
SRS012849.16s.ko	Gut	Male
SRS012969.16s.ko	Gut	Male
SRS012983.16s.ko	Oral	Male
SRS012985.16s.ko	Oral	Male
SRS012989.16s.ko	Oral	Male
SRS012998.16s.ko	Skin	Male
SRS013155.16s.ko	Skin	Male
SRS013158.16s.ko	Gut	Male
SRS013164.16s.ko	Oral	Male
SRS013170.16s.ko	Oral	Male
SRS013215.16s.ko	Gut	Male
SRS013239.16s.ko	Oral	Male
SRS013269.16s.ko	Skin	Male
SRS013382.16s.ko	Gut	Male
SRS013476.16s.ko	Gut	Male
SRS013521.16s.ko	Gut	Female
SRS013533.16s.ko	Oral	Female
SRS013542.16s.ko	Vaginal	Female
SRS013637.16s.ko	Skin	Male
SRS013740.16s.ko	Skin	Male
SRS013800.16s.ko	Gut	Male
SRS013818.16s.ko	Oral	Male
SRS013836.16s.ko	Oral	Male
SRS013927.16s.ko	Oral	Male
SRS013938.16s.ko	Oral	Male
SRS013940.16s.ko	Gut	Male
SRS014124.16s.ko	Oral	Female
SRS014126.16s.ko	Oral	Female
SRS014313.16s.ko	Gut	Female
SRS014402.16s.ko	Oral	Female
SRS014404.16s.ko	Oral	Female
SRS014412.16s.ko	Gut	Female
SRS014415.16s.ko	Vaginal	Female
SRS014523.16s.ko	Vaginal	Female
SRS014524.16s.ko	Oral	Female
SRS014528.16s.ko	Oral	Female
SRS014530.16s.ko	Oral	Female
SRS014534.16s.ko	Gut	Female
SRS014573.16s.ko	Oral	Female
SRS014575.16s.ko	Oral	Female
SRS014578.16s.ko	Oral	Female
SRS014728.16s.ko	Oral	Female
SRS014744.16s.ko	Vaginal	Female
SRS014787.16s.ko	Oral	Female
SRS014801.16s.ko	Vaginal	Female
SRS014855.16s.ko	Gut	Male
SRS014888.16s.ko	Oral	Male
SRS014890.16s.ko	Oral	Male
SRS014894.16s.ko	Oral	Male
SRS014901.16s.ko	Skin	Male
SRS014979.16s.ko	Gut	Female
SRS015038.16s.ko	Oral	Female
SRS015040.16s.ko	Oral	Female
SRS015044.16s.ko	Oral	Female
SRS015054.16s.ko	Vaginal	Female
SRS015154.16s.ko	Oral	Female
SRS015158.16s.ko	Oral	Female
SRS015168.16s.ko	Vaginal	Female
SRS015209.16s.ko	Oral	Female
SRS015215.16s.ko	Oral	Female
SRS015217.16s.ko	Gut	Female
SRS015225.16s.ko	Vaginal	Female
SRS015264.16s.ko	Gut	Male
SRS015269.16s.ko	Skin	Male
SRS015272.16s.ko	Oral	Male
SRS015274.16s.ko	Oral	Male
SRS015278.16s.ko	Oral	Male
SRS015369.16s.ko	Gut	Female
SRS015374.16s.ko	Oral	Female
SRS015378.16s.ko	Oral	Female
SRS015481.16s.ko	Vaginal	Female
SRS015484.16s.ko	Oral	Female
SRS015486.16s.ko	Gut	Female
SRS015540.16s.ko	Oral	Male
SRS015579.16s.ko	Gut	Female
SRS015587.16s.ko	Vaginal	Female
SRS015590.16s.ko	Oral	Female
SRS015592.16s.ko	Oral	Female
SRS015596.16s.ko	Oral	Female
SRS015640.16s.ko	Skin	Male
SRS015644.16s.ko	Oral	Male
SRS015646.16s.ko	Oral	Male
SRS015650.16s.ko	Oral	Male
SRS015686.16s.ko	Oral	Female
SRS015688.16s.ko	Oral	Female
SRS015692.16s.ko	Oral	Female
SRS015694.16s.ko	Gut	Female
SRS015702.16s.ko	Vaginal	Female
SRS015745.16s.ko	Oral	Male
SRS015752.16s.ko	Skin	Male
SRS015755.16s.ko	Oral	Male
SRS015793.16s.ko	Skin	Male
SRS015794.16s.ko	Gut	Male
SRS015797.16s.ko	Oral	Male
SRS015799.16s.ko	Oral	Male
SRS015803.16s.ko	Oral	Male
SRS015890.16s.ko	Gut	Male
SRS015893.16s.ko	Oral	Male
SRS015895.16s.ko	Oral	Male
SRS015899.16s.ko	Oral	Male
SRS015937.16s.ko	Skin	Male
SRS015941.16s.ko	Oral	Male
SRS015985.16s.ko	Oral	Male
SRS015989.16s.ko	Oral	Male
SRS015996.16s.ko	Skin	Male
SRS016033.16s.ko	Skin	Male
SRS016037.16s.ko	Oral	Male
SRS016039.16s.ko	Oral	Male
SRS016043.16s.ko	Oral	Male
SRS016086.16s.ko	Oral	Female
SRS016092.16s.ko	Oral	Female
SRS016132.16s.ko	Gut	Female
SRS016133.16s.ko	Oral	Female
SRS016139.16s.ko	Oral	Female
SRS016188.16s.ko	Skin	Female
SRS016191.16s.ko	Vaginal	Female
SRS016196.16s.ko	Oral	Female
SRS016200.16s.ko	Oral	Female
SRS016292.16s.ko	Skin	Male
SRS016297.16s.ko	Oral	Male
SRS016342.16s.ko	Oral	Male
SRS016360.16s.ko	Oral	Male
SRS016381.16s.ko	Gut	Male
SRS016393.16s.ko	Oral	Male
SRS016495.16s.ko	Gut	Female
SRS016501.16s.ko	Oral	Female
SRS016503.16s.ko	Oral	Female
SRS016513.16s.ko	Skin	Female
SRS016516.16s.ko	Vaginal	Female
SRS016569.16s.ko	Oral	Female
SRS016575.16s.ko	Oral	Female
SRS016581.16s.ko	Skin	Female
SRS016584.16s.ko	Vaginal	Female
SRS016629.16s.ko	Gut	Female
SRS016647.16s.ko	Oral	Female
SRS016653.16s.ko	Oral	Female
SRS016665.16s.ko	Oral	Female
SRS016683.16s.ko	Skin	Female
SRS016692.16s.ko	Vaginal	Female
SRS016740.16s.ko	Oral	Male
SRS016742.16s.ko	Oral	Male
SRS016746.16s.ko	Oral	Male
SRS016752.16s.ko	Skin	Male
SRS016815.16s.ko	Oral	Female
SRS016840.16s.ko	Gut	Male
SRS016858.16s.ko	Oral	Male
SRS016876.16s.ko	Oral	Male
SRS016897.16s.ko	Gut	Male
SRS016969.16s.ko	Oral	Female
SRS016989.16s.ko	Gut	Male
SRS017007.16s.ko	Oral	Male
SRS017013.16s.ko	Oral	Male
SRS017025.16s.ko	Oral	Male
SRS017120.16s.ko	Oral	Male
SRS017156.16s.ko	Skin	Male
SRS017244.16s.ko	Skin	Male
SRS017247.16s.ko	Gut	Male
SRS017324.16s.ko	Oral	Male
SRS017326.16s.ko	Oral	Male
SRS017336.16s.ko	Skin	Male
SRS017375.16s.ko	Gut	Male
SRS017381.16s.ko	Oral	Male
SRS017383.16s.ko	Oral	Male
SRS017433.16s.ko	Gut	Female
SRS017439.16s.ko	Oral	Female
SRS017441.16s.ko	Oral	Female
SRS017445.16s.ko	Oral	Female
SRS017451.16s.ko	Skin	Female
SRS017511.16s.ko	Oral	Female
SRS017517.16s.ko	Skin	Female
SRS017520.16s.ko	Vaginal	Female
SRS017622.16s.ko	Gut	Male
SRS017630.16s.ko	Oral	Male
SRS017634.16s.ko	Oral	Male
SRS017640.16s.ko	Skin	Male
SRS017687.16s.ko	Oral	Female
SRS017697.16s.ko	Skin	Female
SRS017700.16s.ko	Vaginal	Female
SRS017745.16s.ko	Gut	Male
SRS017751.16s.ko	Oral	Male
SRS017753.16s.ko	Oral	Male
SRS017757.16s.ko	Oral	Male
SRS017763.16s.ko	Skin	Male
SRS017808.16s.ko	Oral	Male
SRS017810.16s.ko	Oral	Male
SRS017814.16s.ko	Oral	Male
SRS017820.16s.ko	Skin	Male
SRS017859.16s.ko	Gut	Male
SRS017916.16s.ko	Gut	Male
SRS018049.16s.ko	Gut	Male
SRS018055.16s.ko	Oral	Male
SRS018061.16s.ko	Oral	Male
SRS018300.16s.ko	Oral	Male
SRS018312.16s.ko	Skin	Male
SRS018351.16s.ko	Gut	Male
SRS018357.16s.ko	Oral	Male
